Program+Function,Count,ExecTime,CPU%,Mem,IO
MT25080_Part_A_Program_A+cpu,2,16.30,15.961,1.716,0
MT25080_Part_A_Program_A+cpu,3,22.91,13.9051,1.51392,0
MT25080_Part_A_Program_A+cpu,4,23.23,12.0766,1.3,0
MT25080_Part_A_Program_A+cpu,5,28.37,10.7322,1.14884,0
MT25080_Part_A_Program_A+mem,2,11.36,15.9857,3.16714,0
MT25080_Part_A_Program_A+mem,3,15.71,13.1581,3.55143,0
MT25080_Part_A_Program_A+mem,4,18.87,11.8765,3.63072,0
MT25080_Part_A_Program_A+mem,5,21.12,10.4885,3.7956,0
MT25080_Part_A_Program_A+io,2,4.37,14.8522,1.58261,900000
MT25080_Part_A_Program_A+io,3,3.22,13.8824,1.52941,900000
MT25080_Part_A_Program_A+io,4,1.61,11.3059,1.22353,900000
MT25080_Part_A_Program_A+io,5,3.31,9.58966,1.07586,900000
MT25080_Part_B_Program_B+cpu,2,17.39,48.2455,0,0
MT25080_Part_B_Program_B+cpu,3,20.97,58.0353,0,0
MT25080_Part_B_Program_B+cpu,4,24.59,61.7,0,0
MT25080_Part_B_Program_B+cpu,5,34.19,66.5759,0,0
MT25080_Part_B_Program_B+cpu,6,33.68,70.0586,0,0
MT25080_Part_B_Program_B+cpu,7,36.36,72.9914,0,0
MT25080_Part_B_Program_B+cpu,8,42.75,75.5,0,0
MT25080_Part_B_Program_B+mem,2,15.21,48.3182,7.1,0
MT25080_Part_B_Program_B+mem,3,15.28,57.4,15.3,0
MT25080_Part_B_Program_B+mem,4,16.72,64.4118,19.6176,0
MT25080_Part_B_Program_B+mem,5,20.14,69.0059,24.3059,0
MT25080_Part_B_Program_B+mem,6,22.53,72.2941,29.0647,0
MT25080_Part_B_Program_B+mem,7,37.83,73.0057,34.6314,0
MT25080_Part_B_Program_B+mem,8,25.31,73.8217,38.8435,0
MT25080_Part_B_Program_B+io,2,5.25,0,0,900000
MT25080_Part_B_Program_B+io,3,2.56,0,0,900000
MT25080_Part_B_Program_B+io,4,1.56,0,0,900000
MT25080_Part_B_Program_B+io,5,2.34,0,0,900000
MT25080_Part_B_Program_B+io,6,5.92,70.54,0,900000
MT25080_Part_B_Program_B+io,7,7.44,75.3,0,900000
MT25080_Part_B_Program_B+io,8,5.56,66.84,0,900000
